word,count
span,9
livingroom,26
powder,30
carbon,3
spell,16
straw,28
bellybutton,20
infant,8
hobbyhorse,2
poo,107
poo_poo,35
papa,32
fee,7
dope,1
vacuumcleaner,13
beep,120
vole,3
doo,7
taperecorder,154
bottle's,4
naptime,5
teddybear,19
wiggle,5
worm,66
tickle's,1
pa,2
echochamber,1
bark,11
emergency,8
mustard,20
toilet,44
helpful,1
hifi,1
pee,75
hush,40
bedtime,24
yoyo,7
boosterseat,5
corn,261
cucumber,13
tablecloth,18
sanctuary,3
pleasure,8
tummyache,11
heat,17
safe,15
sherbet,8
continuation,1
feast,2
bin,11
name's,11
mud,15
hippie,2
stork,1
sight,6
insect,2
vase,3
constraint,1
invitation,2
pyjama,4
shout,8
postcard,2
sore,13
butterscotch,1
personality,5
horsing,1
motel,1
temper,4
tantrum,5
triplet,1
village,38
pepper,127
pardon,14
cone,178
plane,72
variety,13
fortune,2
cost,8
dollar,51
olympics,2
gymnastics,1
coffee's,7
news,12
breast,5
dishwasher's,1
outfit,44
popsicle,36
secret,15
brownie,6
maker,11
coleslaw,1
rung,2
grownup,9
remuneration,1
skin,32
pail,32
coupon,5
breakfasttime,5
chance,25
salt,102
aeroplane,1
rush,4
gold,10
beauty,12
parlor,9
business,12
workman,3
inlaw,3
amount,11
trade,1
manner,6
exception,2
lesson,11
whisper,18
experiment,5
absolute,1
fusspot,1
cousin,29
wifie,4
bagel,80
pattern,8
till,36
hospital,49
sneeze,13
tram,1
cinnamon,10
offer,1
spaghetti,244
boosterchair,8
share,29
nickel,22
tooth,34
eater,22
guestroom,1
beam,9
navy,2
shelf,66
blue's,2
list,28
someplace,11
overnight,3
cinder,1
son,83
errand,2
painter,2
swimmer,3
fin,12
divingboard,1
schedule,8
creamcheese,27
carton,9
republican,1
servant,10
pace,3
gang,3
batten,1
hatch,4
flower's,2
thorn,11
homework,5
cottagecheese,4
feta,1
daughter,48
sequence,1
study,47
brave,5
placemat,4
playroom,31
croissant,1
tyre,2
treat,21
bread's,1
penny's,3
pay,9
system,5
cuckoo,11
coffeepot,8
ballpoint,1
grocerystore,1
tyke,1
teaparty,6
orangejuice,18
hitter,1
germ,25
prong,1
ear's,1
lover,2
toddler,15
reflection,3
spit,9
slip,12
company,17
toiletpaper,2
bosom,5
overall,8
ketchup,36
thick,2
yell,7
rate,6
wholewheat,4
chickenpox,12
spring,10
pronoun,3
joke,19
alarmclock,1
cassette,12
rubberband,1
radio,72
burger,43
mitt,1
milk's,4
yoghurt,14
sunshine,10
patch,16
bust,1
posey,3
ash,11
organ,3
split,3
splinter,27
sake,13
babysitter's,3
workday,2
cracker's,2
shake,148
siree,1
hermit,1
comic,10
flannel,1
watermelon,20
ups,4
chest,29
trap,3
science,4
plum,26
frame,12
recordplayer,7
dumbbell,2
tennisshoes,2
birthdayparty,2
speed,6
custom,1
wish,13
diarrhea,2
brother's,6
pad,25
spaghettio,5
notebook,3
mustache,36
berry,8
fireplace,20
sleepover,1
sweetiepie,31
haircut,18
gesture,3
mulberry,15
weasel,44
barber,13
shop,16
hate,5
iceskate,1
diningroom,7
shot,26
observatory,1
raisintoast,1
fourth,13
waffle,170
load,7
warmer,2
improvement,1
resident,1
syrup,13
hotel,5
tap,33
mortgage,1
percent,9
passover,1
outing,2
pork,10
recipe,8
fancy,21
lasagne,2
hyphen,2
carseat,8
heffalump,1
vegetable,111
bran,1
hip,3
wee_wee,16
dirtier,1
action,22
fridge,8
film,16
arrow,8
meatloaf,27
protein,3
mix,37
soy,3
windpipe,1
forehead,6
nature's,1
presence,1
desert,8
ache,11
wee_wees,1
pair,44
hub,1
cheer,5
ambulance,16
plain,8
tip,7
illness,1
sickness,4
marmalade,27
arch,2
purple,70
poos,3
peel,14
restaurant,26
sundae,20
deer,96
birthdaycake,2
hutch,4
guineapig,3
duckling,59
swimmingpool,2
fence,130
symphony,4
teapot,30
spinach,19
beef,26
honour,1
pony's,5
market,24
avocado,7
chat,3
crybaby,4
sieve,2
grahamcracker,13
charge,5
dream,23
inch,8
beaver,89
pushup,1
stupidity,1
nighttime,13
magnitude,1
due,2
bubblebath,2
thunder,11
thunderstorm,1
nurseryschool,1
lunchbox,6
horn,87
mask,6
fireengine,6
jail,10
patio,1
city,24
hamper,7
jumper,4
loaf,2
scandal,1
adventure,8
noontime,3
member,8
sweetpea,3
quart,1
milkman,2
bowlful,1
writer,1
temperature,11
fire's,3
minor,2
burglary,1
rumble,7
tongs,2
appliance,2
youngest,3
curtain,62
controversy,1
forest,20
neighbor,7
storytime,1
no_no,142
pinch,16
junior_high_school,1
sale,7
mile,8
silence,2
egg'll,1
sweep,25
fry,41
cent,15
riot,2
pointer,7
calorie,2
earth,6
applejack,1
cheerio,5
shaker,7
iceskates,2
blade,2
swimmingpools,1
advertisement,5
correction,2
escalator,5
rainbow,40
king,50
glop,1
collage,1
washingmachine,6
pore,1
nurse,29
mayonnaise,16
tunafish,10
biteful,1
jug,5
buttermilk,7
lifejacket,1
curler,4
fart,6
shadow,30
pit,5
gate,76
helicopter,67
motorboat,2
dentist,6
townhouses,1
shirt's,2
spoon's,1
fly's,1
penis,1
chase,8
robe,8
trickortreat,3
piggyback,3
dinner's,8
bandaid,65
puppet's,3
watercolor,10
den,3
backpack,68
heater,4
seatbelt,12
lotion's,1
washer,3
kibble,1
mutton,1
panty,19
harness,1
honker,3
consultation,1
race,17
belch,4
bubblegum,4
cranapple,2
nanny,17
stomach's,1
fever,14
partner,3
carriage,64
karma,2
blanketie,1
riser,1
ankle,6
dove,4
president,2
cleanup,2
headache,18
sunglass,15
sheet,36
promise,5
clap,68
effect,4
wife,16
blender,5
favor,8
college,3
bandaids,6
cradle's,1
short,41
mailtruck,10
olive,22
breakfast's,1
pishie,2
doorbell,6
degree,4
measure,4
liner,1
caterpillar,18
toothache,1
toothbrush,29
diet,6
tinkertoys,10
peace,3
noodle,58
tee,17
boost,1
sweetie,7
drain,5
star,217
uppie,11
baker's,12
sunburn,5
gravel,2
mushroom,81
brat,2
bonnet,2
spud,1
moose,99
hop,269
giant,27
creature,16
octopus,139
penguin,144
fishbowl,5
snowball,3
mountain,66
jungle,41
hippo,44
crab,38
rhinoceros,30
snort,24
spider,91
field,57
post,21
farmyard,1
web,26
meadow,5
chihuahua,5
checkbook,1
nightie,6
sunscreen,7
weed,9
tulip,1
peony,2
cross,13
oval,5
lily,12
gnat,1
horsies,27
moocow,15
fingernail,20
blueberry,22
range,3
spruce,1
petal,5
mower,6
breath,3
habit,4
babydoll,54
fishies,27
ounce,4
formula,1
robin,6
dustpan,7
poopie,45
chart,6
citrus,2
grapefruit,5
broccoli,46
cauliflower,1
melon,13
mango,3
kiwi,231
papaya,1
apricot,4
pasta,36
topping,4
kidney,1
grain,3
tofu,3
appointment,7
pea,464
purifier,1
rash,10
butt,17
pouch,39
decibel,4
thumbprint,1
flamingo,8
hawk,4
iguana,2
jackrabbit,1
koala,58
quail,2
urchin,3
yak,13
nautilus,2
squid,4
fluff,5
complication,1
fanny,1
rockingchair,14
litter,1
oyster,5
pearl,2
crabbie,1
seashell,2
buggie,4
porthole,1
possum,12
sillywilly,9
toesies,1
toesie,1
yuck,18
hopie,1
vitamin,27
diamond,25
club,12
band_aid,51
booboos,2
onesie,1
hairdo,1
poopies,3
rub,18
bouncie,96
pipsqueak,1
blood,16
bundle,3
cooperative,3
cutie,11
onsie,3
armhole,1
helper,26
queen,39
map,18
motherland,1
candle,62
holiday,6
reunion,1
army,26
limb,6
snappie,6
meantime,3
talker,2
drinkie,11
washrag,1
hunt,5
blind,3
cutiepie,1
blankie,30
piglet,40
bullfrog,1
lever,5
chimpanzee,2
jellyfish,1
hop_hop,13
cub,4
mammal,2
scorpion,2
coral,2
yearling,1
angel,30
turtleneck,9
rockinghorse,5
guard,15
doctor's,10
sockies,14
toenail,4
basement,29
popbeads,1
cork,15
escape,3
joy,26
ship,32
branch,23
dollie,37
shovel,33
cockle,2
maid,5
dame,1
haystack,5
tuffet,2
curd,2
whey,2
cock,1
beat,15
macaroni,13
lord,1
mayor,1
hen,46
porridge,10
roast,14
hog,8
fiddle,14
spool,4
battle,5
rattle,53
crow,5
tar,1
hero,15
quarrel,1
sixpence,2
stile,5
dig,4
dumpling,1
trouser,1
leftover,4
microwave,10
chill,1
pro,2
cholesterol,1
rockie,3
phony,6
container,21
ordinary,2
mop,35
spout,5
kittycats,15
neighborhood,4
cardboard,5
raisinbran,6
dinosaur,190
raven,1
explosion,4
truth,10
chef,29
hint,6
collar,13
project,11
base,14
foundation,3
series,11
path,10
totem,1
caboose,13
fountain,24
fist,6
method,1
hue,1
safety,7
skull,1
countertop,1
stretch,2
suds,8
wreck,15
fold,5
flyer,2
basic,2
redhead,1
suntan,1
gel,1
alcohol,2
ray,3
perspiration,1
sunblock,1
height,2
soccer,23
bathingsuit,5
wrecker,1
crunchies,1
munchkin,3
panther,9
tablespoon,2
margarine,1
biscuit,6
buckaroo,1
swallow,4
nana,2
mister,24
hoot,20
hike,5
fumble,4
vent,3
eyesight,1
tad,1
shame,5
signal,1
t_v,37
controller,1
bouncer,1
cooler,4
cupcake,462
volleyball,4
net,5
entrance,2
pigeon,14
stone,13
pegger,1
skateboard,9
background,5
mouthpiece,1
bra,1
squirrelie,26
babycakes,2
squirrelies,1
curb,1
pond,85
roller,26
thingie,7
handlebar,6
marriage,1
parkie,1
ecosystem,1
bummie,5
shred,4
channel,3
current,3
chute,2
shoot,24
waterfall,14
algae,2
porcupine,107
tent,24
private,1
pause,11
jerk,1
motorcycle,91
boobie,7
reward,2
bumblebee,27
doughnut,18
roar,32
neighbor's,1
fur,39
scrape,1
hydrogen,1
peroxide,1
cuetip,3
hollyhock,2
wasp,5
hydrant,7
fennel,2
buckle,12
pavement,3
poison,2
ivy,1
sailor,4
cactus,5
accordion,3
flea,4
liftie,1
popcorn,20
mosquito,19
cobweb,3
dip,4
studio,2
pain,3
mint,2
clover,1
dragonfly,1
bay,5
pinecone,6
sting,2
